"idx","TCid","name","centre","gpkg","hs0_jpg","ib_jpg","haz_nc","haz_hs0_tif","haz_ib_tif","hs0_max_tif","hs0_tpk_tif","ibs_max_tif","ibs_tpk_tif","hs0_peak_time","ibs_peak_time","status","message"
1,2026140,"Karina/KARINA","TC RSMC Honolulu","outputs/latest/TC_001.gpkg","outputs/latest/Hs0_001.jpg","outputs/latest/IB_001.jpg",NA,"outputs/latest/haz_Hs0_001.tif","outputs/latest/haz_IB_001.tif","outputs/latest/hs0_max_001.tif","outputs/latest/hs0_tpkHr_001.tif","outputs/latest/ibs_max_001.tif","outputs/latest/ibs_tpkHr_001.tif","2026-09-02T11:00:00Z","2026-09-02T11:00:00Z","ok",""
2,2026141,"Lowell/LOWELL/SPECIAL","TC RSMC Honolulu","outputs/latest/TC_002.gpkg","outputs/latest/Hs0_002.jpg","outputs/latest/IB_002.jpg",NA,"outputs/latest/haz_Hs0_002.tif","outputs/latest/haz_IB_002.tif","outputs/latest/hs0_max_002.tif","outputs/latest/hs0_tpkHr_002.tif","outputs/latest/ibs_max_002.tif","outputs/latest/ibs_tpkHr_002.tif","2026-09-06T12:00:00Z","2026-09-06T12:00:00Z","ok",""
3,2026144,"KROVANH",NA,"outputs/latest/TC_003.gpkg","outputs/latest/Hs0_003.jpg","outputs/latest/IB_003.jpg",NA,"outputs/latest/haz_Hs0_003.tif","outputs/latest/haz_IB_003.tif","outputs/latest/hs0_max_003.tif","outputs/latest/hs0_tpkHr_003.tif","outputs/latest/ibs_max_003.tif","outputs/latest/ibs_tpkHr_003.tif","2026-09-03T00:00:00Z","2026-09-03T00:00:00Z","ok",""
4,2026149,"Marie","TC RSMC Miami","outputs/latest/TC_004.gpkg","outputs/latest/Hs0_004.jpg","outputs/latest/IB_004.jpg",NA,"outputs/latest/haz_Hs0_004.tif","outputs/latest/haz_IB_004.tif","outputs/latest/hs0_max_004.tif","outputs/latest/hs0_tpkHr_004.tif","outputs/latest/ibs_max_004.tif","outputs/latest/ibs_tpkHr_004.tif","2026-09-05T03:00:00Z","2026-09-05T03:00:00Z","ok",""
